keyword,competitor_hit_count,sample_hits
人生方向,13,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0006""}, {""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0007""}, {""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0008""}, {""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/fortune/fortune-0004""}, {""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/astrology/astrology-0002""}]"
16 型人格,8,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0001""}, {""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0002""}, {""source"": ""page"", ""url"": ""https://www.mysticpantheon.com""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0001""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0002""}]"
MBTI 是什麼,7,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0001""}, {""source"": ""page"", ""url"": ""https://www.mysticpantheon.com""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0001""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0002""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0003""}]"
ENFP,6,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0008""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0001""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0002""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0003""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0004""}]"
INFJ,6,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0007""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0001""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0002""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0003""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0004""}]"
INFP,6,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0006""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0001""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0002""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0003""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0004""}]"
INTJ,6,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0005""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0001""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0002""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0003""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0004""}]"
INTJ 是什麼,6,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0005""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0001""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0002""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0003""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0004""}]"
MBTI 測驗,6,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0003""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0001""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0002""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0003""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0004""}]"
MBTI 準嗎,6,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0004""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0001""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0002""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0003""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0004""}]"
命盤是什麼,2,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/fortune/fortune-0001""}, {""source"": ""page"", ""url"": ""https://www.mysticpantheon.com""}]"
塔羅牌意思,2,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0001""}, {""source"": ""page"", ""url"": ""https://www.mysticpantheon.com""}]"
ENFJ,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0016""}]"
ENTJ,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0009""}]"
ENTP,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0010""}]"
ESFJ,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0018""}]"
ESFP,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0020""}]"
ESTJ,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0017""}]"
ESTP,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0019""}]"
INTP,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0012""}]"
ISFJ,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0011""}]"
ISFP,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0015""}]"
ISTJ,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0013""}]"
ISTP,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0014""}]"
上升星座是什麼,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/astrology/astrology-0002""}]"
世界牌意思,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0008""}]"
事業運勢,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/career/career-0001""}]"
人際關係,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/interpersonal/interpersonal-0001""}]"
八字是什麼,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/fortune/fortune-0002""}]"
力量牌意思,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0016""}]"
吊人牌意思,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0020""}]"
命宮是什麼,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/fortune/fortune-0004""}]"
命運之輪牌意思,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0018""}]"
塔羅牌正位逆位,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0002""}]"
太陽星,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/astrology/astrology-0002""}]"
太陽牌意思,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0023""}]"
夫妻宮是什麼,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/fortune/fortune-0005""}]"
女祭司牌意思,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0009""}]"
審判牌意思,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0024""}]"
寶劍一,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0058""}]"
寶劍七,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0026""}]"
寶劍三,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0059""}]"
寶劍九,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0030""}]"
寶劍二,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0031""}]"
寶劍五,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0061""}]"
寶劍侍者,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0065""}]"
寶劍八,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0063""}]"
寶劍六,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0062""}]"
寶劍十,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0064""}]"
寶劍四,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0060""}]"
寶劍國王,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0068""}]"
寶劍皇后,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0067""}]"
寶劍騎士,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0066""}]"
惡魔牌意思,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0021""}]"
愚者牌意思,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0003""}]"
感情塔羅,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/love/love-0001""}]"
戀人牌意思,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0005""}]"
戰車牌意思,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0015""}]"
教皇牌意思,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0014""}]"
星星牌意思,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0022""}]"
星盤是什麼,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/astrology/astrology-0001""}]"
月亮星座是什麼,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/astrology/astrology-0003""}]"
月亮牌意思,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0010""}]"
權杖一,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0033""}]"
權杖七,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0037""}]"
權杖三,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0027""}]"
權杖九,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0039""}]"
權杖二,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0034""}]"
權杖五,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0028""}]"
權杖侍者,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0041""}]"
權杖八,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0038""}]"
權杖六,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0036""}]"
權杖十,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0040""}]"
權杖四,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0035""}]"
權杖國王,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0044""}]"
權杖皇后,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0043""}]"
權杖騎士,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0042""}]"
正義牌意思,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0019""}]"
死神牌意思,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0006""}]"
皇后牌意思,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0012""}]"
皇帝牌意思,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0013""}]"
節制牌意思,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0011""}]"
紫微斗數是什麼,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/fortune/fortune-0003""}]"
聖杯一,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0045""}]"
聖杯七,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0050""}]"
聖杯三,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0046""}]"
聖杯九,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0052""}]"
聖杯二,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0032""}]"
聖杯五,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0048""}]"
聖杯侍者,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0054""}]"
聖杯八,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0051""}]"
聖杯六,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0049""}]"
聖杯十,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0053""}]"
聖杯四,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0047""}]"
聖杯國王,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0057""}]"
聖杯皇后,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0056""}]"
聖杯騎士,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0055""}]"
財富運勢,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/wealth/wealth-0001""}]"
財帛宮是什麼,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/fortune/fortune-0006""}]"
金星星座是什麼,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/astrology/astrology-0005""}]"
錢幣一,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0069""}]"
錢幣七,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0074""}]"
錢幣三,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0071""}]"
錢幣九,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0076""}]"
錢幣二,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0070""}]"
錢幣五,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0029""}]"
錢幣八,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0075""}]"
錢幣六,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0073""}]"
錢幣四,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0072""}]"
錢幣國王,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0025""}]"
隱者牌意思,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0017""}]"
高塔牌意思,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0007""}]"
魔術師牌意思,1,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/tarot/tarot-0004""}]"
16 型人格完整解析,0,[]
MBTI 人格,0,[]
MBTI 代表什麼,0,[]
MBTI 工作,0,[]
MBTI 感情,0,[]
七殺星,0,[]
上升天秤,0,[]
上升天蠍,0,[]
上升射手,0,[]
上升巨蟹,0,[]
上升摩羯,0,[]
上升水瓶,0,[]
上升牡羊,0,[]
上升獅子,0,[]
上升處女,0,[]
上升金牛,0,[]
上升雙子,0,[]
上升雙魚,0,[]
大限是什麼,0,[]
天同星,0,[]
天府星,0,[]
天梁星,0,[]
天機星,0,[]
天相星,0,[]
太陰星,0,[]
太陽星座是什麼,0,[]
官祿宮是什麼,0,[]
巨門星,0,[]
廉貞星,0,[]
武曲星,0,[]
水星星座是什麼,0,[]
流年是什麼,0,[]
火星星座是什麼,0,[]
破軍星,0,[]
紫微星,0,[]
貪狼星,0,[]
遷移宮是什麼,0,[]
錢幣侍者,0,[]
錢幣十,0,[]
錢幣皇后,0,[]
錢幣騎士,0,[]
